artistId,artistName,trackId,trackName,artistPopularity,trackPopularity,trackExplicitness,contentAdvisoryRating,trackNumber,trackTimeMillis,trackPrice,isStreamable,previewUrl,collectionId,collectionName,collectionCensoredName,trackCount,discNumber,discCount,collectionPrice,primaryGenreName,releaseDate,currency,kind
46087,Erick Sermon,298321904,Music,53.0,,explicit,Explicit,4,223133,1.29,True,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview125/v4/64/61/b5/6461b58b-c65e-a48b-30fe-1c732242772d/mzaf_8096933756363508880.plus.aac.p.m4a,298321651,Music,Music,16,1,1,9.99,Hip-Hop/Rap,2001-08-27T12:00:00Z,USD,song
20044,Madonna,80815173,Music,81.0,,notExplicit,,1,225973,1.29,True,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview115/v4/f7/3a/72/f73a728e-5e89-8c8d-69f2-578e6e2d1819/mzaf_6039980339395716833.plus.aac.p.m4a,80815197,Music,Music,10,1,1,9.99,Pop,2000-08-21T07:00:00Z,USD,song
486597,Journey,169003415,Don't Stop Believin' (2024 Remaster),76.0,84.0,notExplicit,,2,250835,1.29,True,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview126/v4/5c/72/97/5c72974f-6022-f760-ad82-35964fb636b5/mzaf_12752096049347330756.plus.aac.p.m4a,169003304,Greatest Hits (2024 Remaster),Greatest Hits (2024 Remaster),16,1,1,10.99,Rock,1981-06-03T07:00:00Z,USD,song
156987,Jason Mraz,277635828,I'm Yours,73.0,81.0,notExplicit,,2,242947,1.29,True,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview116/v4/31/eb/0d/31eb0dab-85d5-84db-009c-14b17db984de/mzaf_2277093686109849165.plus.aac.p.m4a,277635758,We Sing. We Dance. We Steal Things,We Sing. We Dance. We Steal Things,12,1,1,11.99,Pop,2008-02-12T08:00:00Z,USD,song
46087,Erick Sermon,298429596,Music,53.0,,cleaned,Clean,4,223133,1.29,True,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview115/v4/b7/b1/b3/b7b1b383-221a-e4e1-1b4a-14a6d1f919a5/mzaf_12396333354455774624.plus.aac.p.m4a,298429528,Music,Music,16,1,1,9.99,Hip-Hop/Rap,2001-05-29T07:00:00Z,USD,song
20044,Madonna,329064769,Music,81.0,,notExplicit,,59,286687,1.99,,https://video-ssl.itunes.apple.com/itunes-assets/Video126/v4/a9/9b/a6/a99ba6fe-b6ff-7d40-3cd1-a94a4a074448/mzvf_13528336415660615384.640x480.h264lc.U.p.m4v,329064696,Celebration (Deluxe Video Edition),Celebration (Deluxe Video Edition),68,1,1,34.99,Pop,2009-09-29T07:00:00Z,USD,music-video
889327,Shakira,155658510,Hips Don't Lie (feat. Wyclef Jean),88.0,87.0,notExplicit,,3,218093,1.29,True,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview116/v4/56/0e/48/560e48c8-6200-fe59-4cdb-dff99af51e82/mzaf_14836774711422153362.plus.aac.p.m4a,155658405,"Oral Fixation, Vol. 2 (Expanded Edition)","Oral Fixation, Vol. 2 (Expanded Edition)",13,1,1,9.99,Pop,2006-02-28T08:00:00Z,USD,song
4488522,P!nk,545398139,Just Give Me a Reason (feat. Nate Ruess),80.0,83.0,notExplicit,,4,242721,1.29,True,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview125/v4/57/38/52/573852b0-6b53-4b2e-f8d1-857ec7f60632/mzaf_6157346851900450639.plus.aac.p.m4a,545398133,The Truth About Love,The Truth About Love,15,1,1,10.99,Pop,2012-09-14T07:00:00Z,USD,song
138226712,Fun.,486040194,Some Nights,,,explicit,Explicit,2,277040,1.29,True,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview112/v4/d0/94/0d/d0940d6e-7b4d-ffca-b62c-ae00af05f61c/mzaf_4309929167912355763.plus.aac.p.m4a,486040153,Some Nights,Some Nights,11,1,1,9.99,Alternative,2012-02-21T08:00:00Z,USD,song
20044,Madonna,329043268,Music,81.0,,notExplicit,,2,225813,1.29,True,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview116/v4/0f/3c/e4/0f3ce4ed-7b48-7a9c-5252-e19401ba7993/mzaf_12314112352993709534.plus.aac.p.m4a,329043011,Celebration (Deluxe Version) [Bonus Track],Celebration (Deluxe Version),37,1,1,19.99,Pop,2000-08-21T07:00:00Z,USD,song
